Name,ASCII Name,Population,Coordinates
Tărtăşeşti,Tartasesti,5066,"44.57722, 25.81278"
Suseni,Suseni,5079,"46.66667, 25.55"
Stroeşti,Stroesti,3076,"45.08333, 23.9"
Stângăceaua,Stangaceaua,490,"44.60896, 23.31273"
Stăuceni,Stauceni,3279,"47.71667, 26.75"
Spulber,Spulber,500,"45.75186, 26.7608"
Sovata,Sovata,11465,"46.58333, 25.06667"
Somușca,Somusca,1666,"46.40147, 26.91189"
Socetu,Socetu,1086,"44.19502, 24.85421"
Şoarş,Soars,1870,"45.92859, 24.92867"
Slobozia,Slobozia,1136,"47.4772, 26.88958"
Sântămăria-Orlea,Santamaria-Orlea,974,"45.58874, 22.97042"
Şincai,Sincai,1614,"46.65, 24.38333"
Șimon,Simon,1312,"45.48484, 25.35664"
Siminicea,Siminicea,3107,"47.7, 26.4"
Sâmbotin,Sambotin,538,"45.13333, 23.33333"
Sâmbăteni,Sambateni,1710,"46.1411, 21.52689"
Siliştea,Silistea,4391,"44.38333, 25.35"
Şeitin,Seitin,2943,"46.1, 20.85"
Scrioaştea,Scrioastea,4244,"44.15, 24.95"
Scânteiești,Scanteiesti,926,"45.68333, 27.98333"
Schela,Schela,3548,"45.5, 27.83667"
Salva,Salva,4368,"47.3, 24.35"
Sălişte,Saliste,5660,"45.79633, 23.88677"
Sălcioara,Salcioara,1277,"45.30874, 27.17692"
Sălaşu de Sus,Salasu de Sus,2748,"45.51667, 22.95"
Şag,Sag,4461,"45.64861, 21.17556"
Săcele,Sacele,29918,"45.61674, 25.71101"
Săcel,Sacel,3723,"47.63333, 24.43333"
Rona de Sus,Rona de Sus,4630,"47.9, 24.05"
Robeasca,Robeasca,1290,"45.16667, 27.13333"
Rimetea,Rimetea,1191,"46.45, 23.56667"
Repedea,Repedea,4688,"47.83333, 24.4"
Recea,Recea,1028,"44.31949, 22.91659"
Perişani,Perisani,3781,"45.38333, 24.4"
Peciu Nou,Peciu Nou,4937,"45.60639, 21.05778"
Patru Frați,Patru Frati,1161,"44.73672, 26.47059"
Osebiți,Osebiti,2048,"46.53839, 26.83946"
Oradea,Oradea,206614,"47.0458, 21.91833"
Olanu,Olanu,524,"44.86667, 24.3"
Ogretin,Ogretin,1002,"45.26483, 26.09169"
Oanțu,Oantu,1009,"46.9097, 26.19887"
Nicolae Bălcescu,Nicolae Balcescu,4020,"47.56664, 26.89629"
Negrești,Negresti,1624,"47.02938, 26.37958"
Mugeni,Mugeni,5784,"46.25, 25.21667"
Movileni,Movileni,3839,"44.36667, 24.65"
Mihai Viteazu,Mihai Viteazu,1025,"44.34864, 27.07361"
Mihail Kogălniceanu,Mihail Kogalniceanu,6181,"44.68333, 27.73333"
Mihăeşti,Mihaesti,6263,"45.03333, 24.25"
Mavrodin,Mavrodin,5628,"44.03333, 25.25"
Mărtiniş,Martinis,2968,"46.23333, 25.38333"
Marpod,Marpod,840,"45.86667, 24.5"
Măneciu-Ungureni,Maneciu-Ungureni,2401,"45.31667, 25.98333"
Măgurele,Magurele,4812,"45.1, 26.03333"
Lupeni,Lupeni,30488,"45.36029, 23.23832"
Lunca,Lunca,2452,"47.28144, 26.73708"
Lipniţa,Lipnita,3716,"44.1, 27.6"
Lipia,Lipia,2222,"44.71003, 26.26445"
Lehliu-Gară,Lehliu-Gara,6538,"44.43333, 26.85"
Lazuri,Lazuri,5237,"47.85, 22.86667"
Jupâneşti,Jupanesti,0,"44.9, 23.53333"
Jamu Mare,Jamu Mare,3289,"45.25417, 21.41694"
Ion Corvin,Ion Corvin,2137,"44.11667, 27.8"
Însurăţei,Insuratei,7309,"44.91667, 27.6"
Iara,Iara,4660,"46.55, 23.51667"
Hotarele,Hotarele,8790,"44.1725, 26.37028"
Homocea,Homocea,9869,"46.13333, 27.23333"
Gura Văii,Gura Vaii,0,"46.27234, 26.82604"
Gropșani,Gropsani,1080,"44.44072, 23.97047"
Grădina,Gradina,854,"44.5552, 28.43236"
Glodeni,Glodeni,1187,"45.06345, 25.45342"
Gârla-Mare,Garla-Mare,5258,"44.20917, 22.775"
Gilău,Gilau,7745,"46.73245, 23.36174"
Găvănești,Gavanesti,1232,"45.08825, 27.06499"
Galoșpetreu,Galospetreu,1025,"47.48345, 22.2173"
Focșani,Focsani,77313,"45.7, 27.18333"
Florica,Florica,1759,"44.90802, 26.76627"
Filiaș,Filias,1111,"46.27075, 25.0212"
Fildu de Jos,Fildu de Jos,1441,"46.93333, 23.06667"
Făcăeni,Facaeni,5893,"44.56667, 27.9"
Dudeștii Noi,Dudestii Noi,2265,"45.83989, 21.10215"
Drăgugești,Dragugesti,2284,"46.36796, 26.77433"
Drăgăneşti,Draganesti,5874,"45.78333, 27.46667"
Dorobanțu,Dorobantu,1275,"44.35416, 26.39341"
Doiceşti,Doicesti,4727,"44.98333, 25.4"
Dobrotești,Dobrotesti,1392,"43.96141, 24.12405"
Derșida,Dersida,1910,"47.3881, 22.8017"
Deleşti,Delesti,5122,"46.7, 27.55"
Dejești,Dejesti,1033,"44.83093, 24.35648"
Dascălu,Dascalu,2594,"44.6, 26.23333"
Dancu,Dancu,6903,"47.15417, 27.66623"
Dămuc,Damuc,3084,"46.8, 25.9"
Dăbuleni,Dabuleni,13641,"43.8, 24.08333"
Culciu Mic,Culciu Mic,3941,"47.76667, 23.03333"
Crețești,Cretesti,561,"46.63333, 27.95"
Coțofenii din Față,Cotofenii din Fata,1499,"44.45971, 23.65688"
Cosmeşti,Cosmesti,2735,"44.3, 25.38333"
Corlătești,Corlatesti,1371,"44.91341, 26.08726"
Cleanov,Cleanov,1833,"44.35288, 23.21032"
Ciudanoviţa,Ciudanovita,752,"45.14472, 21.79778"
Chitila,Chitila,12788,"44.50806, 25.98222"
Ceparii Pământeni,Ceparii Pamanteni,564,"45.21667, 24.56667"
Călina,Calina,1757,"44.70205, 24.25439"
Buzoeşti,Buzoesti,6281,"44.58333, 24.91667"
Bughea de Jos,Bughea de Jos,2988,"45.26667, 25.0"
Bucșești,Bucsesti,1238,"46.48381, 26.5823"
Brehuiești,Brehuiesti,1532,"47.70194, 26.54472"
Bordeşti,Bordesti,1806,"45.55, 27.05"
Boian,Boian,1622,"46.20159, 24.22862"
Bocşa,Bocsa,3394,"47.2939, 22.91405"
Blejeşti,Blejesti,4149,"44.3, 25.46667"
Beregsău Mare,Beregsau Mare,1571,"45.75921, 21.02666"
Beliş,Belis,1377,"46.65, 23.03333"
Bărbăteşti,Barbatesti,3805,"45.18333, 24.11667"
Bănişor,Banisor,2385,"47.10431, 22.83731"
Baia de Aramă,Baia de Arama,2145,"44.99929, 22.80784"
Augustin,Augustin,1207,"46.04613, 25.55333"
Amaru,Amaru,2749,"44.93333, 26.58333"
Albeștii Ungureni,Albestii Ungureni,2251,"45.22529, 24.67254"
Adunaţi,Adunati,2239,"45.13333, 25.61667"
Adânca,Adanca,2101,"44.9225, 25.61005"
Smârdan,Smardan,1077,"45.2867, 28.00368"
Gheorghe Doja,Gheorghe Doja,2555,"44.61622, 27.1874"
Uljma,Uljma,4115,"45.04213, 21.15393"
Šimanovci,Simanovci,2376,"44.87393, 20.09175"
Sefkerin,Sefkerin,2836,"45.00501, 20.48256"
Novi Itebej,Novi Itebej,1553,"45.55918, 20.7003"
Lebane,Lebane,0,"42.92389, 21.7375"
Botoš,Botos,2569,"45.30837, 20.63514"
Marieberg,Marieberg,1181,"60.23333, 18.5"
Vagnhärad,Vagnhaerad,3397,"58.94587, 17.48757"
Trelleborg,Trelleborg,29316,"55.37514, 13.15691"
Timrå,Timra,10495,"62.48654, 17.32613"
Sundsvall,Sundsvall,57606,"62.39129, 17.3063"
Strövelstorp,Stroevelstorp,1207,"56.16979, 12.83925"
Storvreta,Storvreta,6340,"59.95933, 17.70588"
Sollebrunn,Sollebrunn,1482,"58.11667, 12.53333"
Sköllersta,Skoellersta,1079,"59.13738, 15.3394"
Skillingaryd,Skillingaryd,3965,"57.43044, 14.09383"
Skåre,Skare,5173,"55.38333, 13.05"
Rödeby,Roedeby,3508,"56.26078, 15.62143"
Östra Ljungby,OEstra Ljungby,1740,"56.19601, 13.09199"
Oskarström,Oskarstroem,4172,"56.8, 12.96667"
Olofström,Olofstroem,7526,"56.2773, 14.53402"
Ödeshög,OEdeshoeg,2554,"58.22949, 14.65294"
Odensjö,Odensjoe,2646,"57.71667, 14.16667"
Norberg,Norberg,4653,"60.06505, 15.92366"
Munka-Ljungby,Munka-Ljungby,3148,"56.25, 12.96667"
Mölnlycke,Moelnlycke,17579,"57.65893, 12.11792"
Tsada - Tremithousa - Tala (Borders),Tsada - Tremithousa - Tala (Borders),0,"34.8343, 32.45363"
Žďár nad Sázavou,Zgar nad Sazavou,20847,"49.56263, 15.93924"
Vrbice,Vrbice,1050,"48.91508, 16.89779"
Vrané nad Vltavou,Vrane nad Vltavou,1922,"49.93585, 14.37706"
Velký Týnec,Velky Tynec,2150,"49.54994, 17.33359"
Uhlířské Janovice,Uhlirske Janovice,3058,"49.88019, 15.06481"
Třemošnice,Tremosnice,3273,"49.86912, 15.58002"
Světlá nad Sázavou,Svetla nad Sazavou,7037,"49.66801, 15.40393"
Strančice,Strancice,1505,"49.94811, 14.67745"
Stařeč,Starec,1539,"49.19783, 15.82791"
Sokolnice,Sokolnice,1761,"49.11392, 16.72156"
Sobotín,Sobotin,2468,"50.01039, 17.09129"
Slušovice,Slusovice,2904,"49.24782, 17.8015"
Sadov,Sadov,1016,"50.26711, 12.89708"
Roudnice nad Labem,Roudnice nad Labem,13084,"50.42528, 14.26175"
Ratíškovice,Ratiskovice,3955,"48.92002, 17.16561"
Prachatice,Prachatice,11803,"49.01292, 13.99752"
Postřelmov,Postrelmov,3314,"49.90756, 16.91226"
Opava,Opava,60252,"49.93866, 17.90257"
Netvořice,Netvorice,1060,"49.81569, 14.51827"
Nedvědice,Nedvedice,1330,"49.45702, 16.33406"
Mirotice,Mirotice,1114,"49.42908, 14.03697"
Mikulovice,Mikulovice,2750,"50.29854, 17.32155"
Město Libavá,Mesto Libava,1213,"49.72162, 17.52013"
Městečko Trnávka,Mestecko Trnavka,1502,"49.70926, 16.72744"
Manětín,Manetin,1240,"49.99177, 13.23319"
Malá Skála,Mala Skala,1067,"50.64631, 15.19543"
Luštěnice,Lustenice,1447,"50.32296, 14.93667"
Lenešice,Lenesice,1298,"50.37516, 13.7659"
Křinec,Krinec,1351,"50.26449, 15.13782"
Kamenný Přívoz,Kamenny Privoz,1472,"49.86299, 14.50339"
Jeseník nad Odrou,Jesenik nad Odrou,1898,"49.61194, 17.90526"
Javorník,Javornik,2967,"50.39077, 17.00272"
Jablonné nad Orlicí,Jablonne nad Orlici,3147,"50.02964, 16.60059"
Hořovice,Horovice,6431,"49.83597, 13.90268"
Horní Planá,Horni Plana,2278,"48.76736, 14.03257"
Horní Lideč,Horni Lidec,1379,"49.18121, 18.06099"
Frenštát pod Radhoštěm,Frenstat pod Radhostem,11334,"49.54835, 18.21078"
Dubá,Duba,1753,"50.54034, 14.54023"
Drnholec,Drnholec,1676,"48.85746, 16.48586"
Dřevohostice,Drevohostice,1569,"49.42594, 17.59204"
Dolní Bečva,Dolni Becva,1805,"49.45498, 18.19419"
Dobřív,Dobriv,1110,"49.71566, 13.68681"
Sarria,Sarria,13508,"42.78148, -7.41431"
Santiuste de San Juan Bautista,Santiuste de San Juan Bautista,740,"41.15593, -4.57202"
Santibáñez de Vidriales,Santibanez de Vidriales,1251,"42.07362, -6.01549"
Santas Martas,Santas Martas,958,"42.4322, -5.37066"
Santa Marina del Rey,Santa Marina del Rey,2281,"42.51334, -5.86065"
Santa María la Real de Nieva,Santa Maria la Real de Nieva,1310,"41.06998, -4.40709"
Santa Coloma de Queralt,Santa Coloma de Queralt,0,"41.53333, 1.38333"
San Pedro del Valle,San Pedro del Valle,125,"41.03332, -5.86025"
Sant Ferriol,Sant Ferriol,61,"42.2, 2.66667"
Luintra,Luintra,1283,"42.40964, -7.72682"
Ribaforada,Ribaforada,3412,"41.99814, -1.51272"
Ribadumia,Ribadumia,5069,"42.51667, -8.75"
Revilla del Campo,Revilla del Campo,149,"42.21081, -3.54289"
Quintana del Marco,Quintana del Marco,503,"42.2067, -5.8503"
Quintanabureba,Quintanabureba,37,"42.58665, -3.36685"
Quemada,Quemada,257,"41.70073, -3.57476"
A Pobra do Caramiñal,A Pobra do Caraminal,9440,"42.60295, -8.93824"
Puebla de Arenoso,Puebla de Arenoso,155,"40.1, -0.58333"
Proaza,Proaza,789,"43.25178, -6.01633"
Priego,Priego,1055,"40.44936, -2.31435"
Prado de la Guzpeña,Prado de la Guzpena,131,"42.78309, -5.02554"
Posada de Valdeón,Posada de Valdeon,503,"43.15154, -4.92102"
Pol,Pol,0,"43.14892, -7.33022"
Población de Cerrato,Poblacion de Cerrato,138,"41.79298, -4.42874"
Pelayos del Arroyo,Pelayos del Arroyo,62,"41.05086, -3.94104"
Pedraza de Alba,Pedraza de Alba,279,"40.75502, -5.37524"
Pau,Pau,446,"42.31607, 3.11621"
Olivares de Duero,Olivares de Duero,326,"41.63755, -4.36547"
Òdena,Odena,2910,"41.6, 1.65"
Nueno,Nueno,451,"42.26697, -0.43906"
Novillas,Novillas,664,"41.93334, -1.39412"
Navalilla,Navalilla,137,"41.34146, -3.93211"
Muro en Cameros,Muro en Cameros,34,"42.22509, -2.53038"
Mozoncillo,Mozoncillo,997,"41.14539, -4.18753"
Morés,Mores,413,"41.47326, -1.56491"
Monterrubio,Monterrubio,87,"40.84914, -4.35001"
Montblanc,Montblanc,6632,"41.37636, 1.16163"
Monsagro,Monsagro,189,"40.50343, -6.2711"
Monforte de Moyuela,Monforte de Moyuela,76,"41.05512, -1.01411"
Moneva,Moneva,115,"41.12817, -0.83591"
Molins de Rei,Molins de Rei,24067,"41.41667, 2.01667"
Mirabueno,Mirabueno,106,"40.94479, -2.72438"
Mengamuñoz,Mengamunoz,67,"40.50006, -4.99983"
Melide,Melide,0,"42.91382, -8.01496"
Meira,Meira,1775,"43.21337, -7.29372"
Mazaleón,Mazaleon,577,"41.05056, 0.1029"
Matapozuelos,Matapozuelos,1030,"41.41423, -4.79122"
Mata de Cuéllar,Mata de Cuellar,296,"41.39655, -4.47167"
Martín Muñoz de las Posadas,Martin Munoz de las Posadas,420,"40.99546, -4.59672"
Mariana,Mariana,306,"40.16717, -2.14601"
Marchagaz,Marchagaz,281,"40.26769, -6.27485"
Meranges,Meranges,0,"42.44518, 1.78777"
Malanquilla,Malanquilla,130,"41.56856, -1.87481"
Madrigalejo del Monte,Madrigalejo del Monte,212,"42.12442, -3.72509"
Madremanya,Madremanya,0,"41.98333, 2.96667"
Leza de Río Leza,Leza de Rio Leza,69,"42.32952, -2.40606"
Lantz,Lantz,0,"43.0, -1.61667"
La Muela,La Muela,5479,"41.58014, -1.11719"
La Canonja,La Canonja,5842,"41.1211, 1.18065"
Irañeta,Iraneta,169,"42.92287, -1.94595"
Huerta del Marquesado,Huerta del Marquesado,237,"40.15, -1.68333"
Hontoria de Valdearados,Hontoria de Valdearados,256,"41.74488, -3.51983"
Higuera de las Dueñas,Higuera de las Duenas,300,"40.23903, -4.60361"
Hernansancho,Hernansancho,223,"40.85753, -4.73045"
Grijota,Grijota,1047,"42.05289, -4.58309"
Goñi,Goni,202,"42.85167, -1.90358"
Gimileo,Gimileo,139,"42.54992, -2.82237"
Gascones,Gascones,178,"41.01843, -3.64217"
Gaintza,Gainza,0,"43.05271, -2.1329"
Fuentelsaz,Fuentelsaz,116,"41.07359, -1.83108"
Fresno de Torote,Fresno de Torote,1723,"40.5904, -3.41003"
Fresnedoso,Fresnedoso,129,"40.43619, -5.70969"
Fórnoles,Fornoles,105,"40.89359, -0.00383"
Forès,Fores,0,"41.48333, 1.23333"
Estadilla,Estadilla,831,"42.05657, 0.24343"
el Raval,el Raval,48403,"41.38042, 2.1686"
El Álamo,El Alamo,9353,"40.23066, -3.99447"
Eibar,Eibar,27419,"43.18493, -2.47158"
Dozón,Dozon,2041,"42.58333, -8.01667"
Domingo García,Domingo Garcia,48,"41.11528, -4.37927"
Culla,Culla,677,"40.3365, -0.16569"
Corullón,Corullon,1130,"42.57896, -6.81925"
Colunga,Colunga,3868,"43.48531, -5.27009"
Cipérez,Ciperez,376,"40.9621, -6.26552"
Cinctorres,Cinctorres,512,"40.58333, -0.21667"
Cilleruelo de Abajo,Cilleruelo de Abajo,283,"41.88405, -3.79723"
Cillán,Cillan,131,"40.70675, -4.98135"
Chozas de Abajo,Chozas de Abajo,1976,"42.50657, -5.68656"
Cee,Cee,7381,"42.95466, -9.188"
Zeanuri,Zeanuri,1163,"43.1, -2.75"
Castrillo de Villavega,Castrillo de Villavega,245,"42.45463, -4.48069"
Castelserás,Castelseras,808,"40.98133, -0.14666"
Castejón de Alarba,Castejon de Alarba,96,"41.18365, -1.63612"
Cascante,Cascante,0,"41.99769, -1.68098"
Carrascosa,Carrascosa,113,"40.59092, -2.16305"
Carbellino,Carbellino,243,"41.22975, -6.14901"
Carabantes,Carabantes,31,"41.55211, -1.9981"
Candilichera,Candilichera,198,"41.70434, -2.30123"
Candás,Candas,7193,"43.58922, -5.76735"
Camarzana de Tera,Camarzana de Tera,962,"41.99471, -6.02657"
Cabeza del Caballo,Cabeza del Caballo,443,"41.12982, -6.55742"
Bustillo del Páramo,Bustillo del Paramo,1630,"42.44126, -5.7928"
Borriol,Borriol,4321,"40.04249, -0.07025"
Borrenes,Borrenes,452,"42.49019, -6.72338"
Bocigas,Bocigas,128,"41.2307, -4.68128"
Boceguillas,Boceguillas,678,"41.33641, -3.63828"
Biel,Biel,215,"42.38763, -0.94154"
Bercial de Zapardiel,Bercial de Zapardiel,278,"41.04675, -4.9691"
Berceruelo,Berceruelo,41,"41.58033, -5.03267"
Bellcaire d'Urgell,Bellcaire d'Urgell,1218,"41.75, 0.91667"
Bárzana,Barzana,1480,"43.15742, -5.97345"
Barbalos,Barbalos,100,"40.67678, -5.94258"
Babilafuente,Babilafuente,998,"40.97704, -5.42554"
Azpeitia,Azpeitia,14375,"43.18246, -2.26693"
Avilés,Aviles,78715,"43.55473, -5.92483"
Atea,Atea,171,"41.16059, -1.55533"
Armiñón,Arminon,157,"42.72313, -2.87172"
Anento,Anento,200,"41.06958, -1.33375"
Andorra,Andorra,7890,"40.97655, -0.44721"
Anaya,Anaya,137,"40.99184, -4.3095"
Alquézar,Alquezar,307,"42.17268, 0.02586"
Almohaja,Almohaja,26,"40.60489, -1.438"
Alhóndiga,Alhondiga,242,"40.52669, -2.82438"
Alerre,Alerre,234,"42.16468, -0.46369"
Aguilar del Río Alhama,Aguilar del Rio Alhama,700,"41.96212, -1.9934"
Adrados,Adrados,176,"41.36816, -4.11186"
Ablitas,Ablitas,0,"41.9745, -1.64053"
Sant Cristòfol de les Fonts,Sant Cristofol de les Fonts,8791,"42.16964, 2.49943"
Atanzón,Atanzon,0,"40.66697, -2.99686"
Barri de Sant Andreu,Barri de Sant Andreu,56818,"41.43693, 2.19022"
Västanfjärd,Vaestanfjaerd,783,"60.05, 22.68333"
Tarvasjoki,Tarvasjoki,1961,"60.58333, 22.73333"
Sibbo,Sibbo,19430,"60.37752, 25.26906"
Sahalahti,Sahalahti,2141,"61.4746, 24.32652"
Rautalampi,Rautalampi,3665,"62.63333, 26.83333"
Orimattila,Orimattila,14603,"60.80487, 25.72964"
Lavia,Lavia,2109,"61.6, 22.6"
Kuru,Kuru,2701,"61.87558, 23.71948"
Inari,Inari,7049,"68.90596, 27.02881"
Porvoo,Porvoo,51135,"60.39233, 25.66507"
Askola,Askola,4515,"60.53333, 25.6"
Askainen,Askainen,1004,"60.56667, 21.86667"
Älajärvi,AElajaervi,10308,"63.00027, 23.81586"
Ygos-Saint-Saturnin,Ygos-Saint-Saturnin,1223,"43.97651, -0.7378"
Yèvres,Yevres,1778,"48.21078, 1.18717"
Woippy,Woippy,13721,"49.15111, 6.15132"
Waziers,Waziers,7498,"50.38717, 3.1149"
Wattrelos,Wattrelos,42826,"50.70118, 3.21812"
Vouzon,Vouzon,1249,"47.64515, 2.05609"
Vitry-sur-Orne,Vitry-sur-Orne,2403,"49.26595, 6.11074"
Violaines,Violaines,3716,"50.5416, 2.7886"
Vineuil,Vineuil,1149,"46.90038, 1.63543"
Villiers-sur-Orge,Villiers-sur-Orge,3956,"48.65953, 2.30002"
Villiers-Saint-Fréderic,Villiers-Saint-Frederic,2587,"48.81667, 1.88333"
Villetaneuse,Villetaneuse,12025,"48.95833, 2.34167"
Villebois,Villebois,1078,"45.84822, 5.4331"
Vic-sur-Aisne,Vic-sur-Aisne,1824,"49.40609, 3.11223"
Veyre-Monton,Veyre-Monton,3608,"45.66866, 3.17144"
Vendrennes,Vendrennes,1160,"46.82613, -1.12339"
Varennes-sur-Allier,Varennes-sur-Allier,4314,"46.31318, 3.40147"
Valros,Valros,1276,"43.4201, 3.36603"
Valmondois,Valmondois,1289,"49.0973, 2.18996"
Valleiry,Valleiry,2421,"46.11106, 5.97037"
Valergues,Valergues,1941,"43.66819, 4.06109"
Uzemain,Uzemain,1055,"48.08572, 6.34443"
Usson-en-Forez,Usson-en-Forez,1262,"45.39174, 3.94142"
Trilport,Trilport,5080,"48.95685, 2.95076"
Trémentines,Trementines,3009,"47.12333, -0.78745"
Trélévern,Trelevern,1374,"48.80851, -3.37176"
Trébeurden,Trebeurden,3617,"48.76929, -3.56814"
Toul,Toul,17680,"48.68075, 5.89115"
Tiercé,Tierce,3936,"47.6157, -0.46787"
Thun-Saint-Amand,Thun-Saint-Amand,1059,"50.47276, 3.45115"
Thouaré-sur-Loire,Thouare-sur-Loire,7172,"47.26957, -1.44354"
Thônes,Thones,6032,"45.88123, 6.32572"
Thizy-les-Bourgs,Thizy-les-Bourgs,2718,"46.02995, 4.31299"
Teting-sur-Nied,Teting-sur-Nied,1220,"49.05704, 6.66294"
Tavers,Tavers,1287,"47.75921, 1.61267"
Tabanac,Tabanac,1072,"44.72051, -0.4057"
Sury-le-Comtal,Sury-le-Comtal,5046,"45.53735, 4.18573"
Spicheren,Spicheren,3393,"49.19252, 6.96611"
Servon-sur-Vilaine,Servon-sur-Vilaine,3328,"48.12132, -1.46055"
Serqueux,Serqueux,1016,"49.63202, 1.54005"
Sermaize-les-Bains,Sermaize-les-Bains,2212,"48.78507, 4.91169"
Septeuil,Septeuil,2212,"48.89245, 1.68357"
Selvigny,Selvigny,2162,"50.07971, 3.34899"
Savigny,Savigny,2025,"45.81595, 4.5741"
Sausset-les-Pins,Sausset-les-Pins,7619,"43.33136, 5.10431"
Saujon,Saujon,5803,"45.67239, -0.92648"
Saucats,Saucats,1796,"44.6527, -0.59656"
Sannois,Sannois,26869,"48.96667, 2.25"
Saint-Viâtre,Saint-Viatre,1193,"47.52438, 1.93276"
Pragoulin,Pragoulin,1131,"46.05425, 3.39346"
Saint-Rémy-en-Mauges,Saint-Remy-en-Mauges,1298,"47.27202, -1.07499"
Saint-Quentin-la-Poterie,Saint-Quentin-la-Poterie,2986,"44.0454, 4.44112"
Saint-Philbert-de-Grand-Lieu,Saint-Philbert-de-Grand-Lieu,6757,"47.03573, -1.64088"
Saint-Paul-Cap-de-Joux,Saint-Paul-Cap-de-Joux,1015,"43.64695, 1.97543"
Saint-Pal-de-Mons,Saint-Pal-de-Mons,1823,"45.24634, 4.27416"
Saint-Martin-de-Ré,Saint-Martin-de-Re,2812,"46.2031, -1.36746"
Saint-Jean-d'Illac,Saint-Jean-d'Illac,6826,"44.80978, -0.78394"
Saint-Jean-de-Soudain,Saint-Jean-de-Soudain,1068,"45.5677, 5.4288"
Saint-Jean-d'Aulps,Saint-Jean-d'Aulps,1177,"46.23438, 6.65327"
Saint-Hilaire-de-Villefranche,Saint-Hilaire-de-Villefranche,1127,"45.85053, -0.52966"
Saint-Hilaire de Talmont,Saint-Hilaire de Talmont,5737,"46.47006, -1.60332"
Saint-Georges-des-Groseillers,Saint-Georges-des-Groseillers,3357,"48.76993, -0.56768"
Sainte-Sigolène,Sainte-Sigolene,5734,"45.24329, 4.23343"
Sainte-Savine,Sainte-Savine,11172,"48.29637, 4.04642"
Saint-Didier-sur-Chalaronne,Saint-Didier-sur-Chalaronne,2521,"46.17714, 4.81626"
Saint-Didier,Saint-Didier,1400,"48.09493, -1.37156"
Saint-Claud,Saint-Claud,1104,"45.89543, 0.46492"
Saint-Chaffrey,Saint-Chaffrey,1716,"44.92555, 6.60768"
Saint-Bris-le-Vineux,Saint-Bris-le-Vineux,1097,"47.74396, 3.64922"
Saint-Brieuc,Saint-Brieuc,52774,"48.51513, -2.76838"
Saint-Bonnet-près-Riom,Saint-Bonnet-pres-Riom,1673,"45.92972, 3.1131"
Saint-Avertin,Saint-Avertin,16007,"47.36357, 0.73993"
Saint-Aubin-sur-Gaillon,Saint-Aubin-sur-Gaillon,1492,"49.14701, 1.32914"
Saint-Aubin-des-Ormeaux,Saint-Aubin-des-Ormeaux,1232,"46.99194, -1.04316"
Saint-André-les-Vergers,Saint-Andre-les-Vergers,11203,"48.28527, 4.0521"
Saint-Andiol,Saint-Andiol,2722,"43.83484, 4.94453"
Russ,Russ,1251,"48.496, 7.25911"
Rosult,Rosult,1884,"50.45888, 3.35902"
Roquecourbe,Roquecourbe,2310,"43.66482, 2.29072"
Rocquencourt,Rocquencourt,3389,"48.83783, 2.10228"
Rochecorbon,Rochecorbon,3124,"47.41658, 0.75521"
Robion,Robion,4116,"43.84697, 5.11017"
Rivery,Rivery,3454,"49.90328, 2.32235"
Rions,Rions,1571,"44.66385, -0.35221"
Rians,Rians,1020,"47.17875, 2.61359"
Reyrieux,Reyrieux,4017,"45.93577, 4.81453"
Revin,Revin,7960,"49.94039, 4.63503"
Revel,Revel,1251,"45.18618, 5.87208"
Restigné,Restigne,1148,"47.28224, 0.22788"
Renwez,Renwez,1428,"49.83839, 4.60334"
Recquignies,Recquignies,2560,"50.28396, 4.03722"
Raon-l'Étape,Raon-l'Etape,6420,"48.40414, 6.83864"
Raedersheim,Raedersheim,1121,"47.88895, 7.28222"
Quaëdypre,Quaedypre,1124,"50.93527, 2.45445"
Pussay,Pussay,1733,"48.34908, 1.99182"
Priziac ( Priziac ),Priziac ( Priziac ),1310,"48.06045, -3.41037"
Pringy,Pringy,2944,"45.94622, 6.12608"
Prat,Prat,1049,"48.67685, -3.29807"
Pouzauges,Pouzauges,5912,"46.78242, -0.83794"
Portiragnes,Portiragnes,2571,"43.30467, 3.33523"
Pont-de-Chéruy,Pont-de-Cheruy,4609,"45.75344, 5.17245"
Pluneret,Pluneret,3987,"47.67558, -2.95887"
Plumergat,Plumergat,3156,"47.74192, -2.91751"
Plougrescant,Plougrescant,1462,"48.84026, -3.22886"
Ploufragan,Ploufragan,11577,"48.49005, -2.79605"
Ploërdut,Ploerdut,1400,"48.08732, -3.28713"
Ploemeur,Ploemeur,20652,"47.73512, -3.42952"
Plémy,Plemy,1585,"48.33595, -2.6822"
Plélan-le-Grand,Plelan-le-Grand,3220,"48.00186, -2.09935"
Plauzat,Plauzat,1030,"45.62157, 3.14896"
Plaintel,Plaintel,3693,"48.40754, -2.8179"
Pissos,Pissos,1189,"44.30894, -0.77859"
Pirou,Pirou,1353,"49.18089, -1.57384"
Peyrehorade,Peyrehorade,3419,"43.54496, -1.10068"
Perrecy-les-Forges,Perrecy-les-Forges,1734,"46.61453, 4.2138"
Peltre,Peltre,1654,"49.0748, 6.22721"
Peillon,Peillon,1270,"43.77861, 7.38278"
Pauillac,Pauillac,5792,"45.20023, -0.74876"
Passy,Passy,11613,"45.92341, 6.69562"
Pacé,Pace,8608,"48.14854, -1.77435"
Ozoir-la-Ferrière,Ozoir-la-Ferriere,22530,"48.76699, 2.66871"
Ostricourt,Ostricourt,5522,"50.45145, 3.03417"
